ServiceType,AvgServiceDurationMins,DayOfWeek,HourOfDay,QueueLengthAtJoin,StaffOnDuty,ActualWaitMinutes,IsNoShow
Haircut,30,6,15,1,3,22.3,0
Haircut,30,4,11,0,2,14.0,0
Haircut,30,2,11,1,2,25.3,0
Haircut,30,5,16,5,3,57.1,1
Buzz Cut,15,5,13,2,3,13.0,0
Haircut,30,6,18,5,3,47.7,1
Haircut,30,6,9,5,3,69.1,0
Haircut,30,2,11,0,2,12.8,0
Buzz Cut,15,0,18,0,3,4.4,0
Haircut,30,0,17,0,3,10.2,0
Buzz Cut,15,0,12,0,2,7.8,0
Haircut,30,5,14,1,3,15.6,0
Haircut,30,5,16,1,3,19.4,0
Buzz Cut,15,6,14,0,3,5.3,0
Beard Trim,20,2,10,1,2,18.4,0
Buzz Cut,15,6,15,0,3,4.6,0
Buzz Cut,15,3,11,3,2,33.8,0
Haircut,30,3,12,3,2,61.9,0
Haircut + Beard,45,6,15,1,3,27.9,0
Beard Trim,20,4,17,1,3,14.9,0
Buzz Cut,15,5,14,0,3,4.6,0
Haircut,30,2,16,0,3,10.1,0
Haircut,30,0,10,2,2,47.4,1
Haircut,30,4,18,3,3,41.4,0
Haircut,30,4,13,0,2,14.8,0
Beard Trim,20,6,10,2,3,24.9,0
Beard Trim,20,6,10,4,3,37.4,0
Haircut,30,3,9,2,2,51.8,0
Haircut,30,5,12,5,3,67.4,0
Haircut,30,5,10,3,3,42.3,0
Haircut,30,5,11,2,3,30.1,0
Haircut,30,4,18,3,3,39.5,0
Haircut + Beard,45,6,13,1,3,27.0,0
Haircut,30,3,11,0,2,12.0,0
Buzz Cut,15,6,11,2,3,14.7,0
Haircut + Beard,45,6,14,1,3,29.3,0
Haircut,30,0,15,3,2,64.7,0
Haircut,30,2,12,0,2,14.3,0
Haircut,30,6,15,3,3,36.7,0
Haircut,30,2,16,2,3,32.0,0
Haircut + Beard,45,1,17,0,3,15.4,0
Buzz Cut,15,3,13,1,2,16.0,0
Buzz Cut,15,6,11,0,3,5.8,0
Beard Trim,20,2,16,2,3,20.1,0
Buzz Cut,15,3,18,3,3,19.0,0
Haircut + Beard,45,3,17,0,3,13.7,0
Buzz Cut,15,2,16,0,3,4.8,0
Buzz Cut,15,6,13,0,3,5.3,0
Haircut + Beard,45,1,17,4,3,81.5,1
Haircut + Beard,45,0,18,1,3,26.8,0
Buzz Cut,15,1,11,0,2,6.7,0
Haircut,30,5,12,1,3,19.3,0
Haircut + Beard,45,5,11,1,3,29.6,0
Haircut,30,6,11,4,3,48.4,0
Buzz Cut,15,5,14,0,3,4.9,0
Beard Trim,20,2,10,0,2,9.3,0
Haircut + Beard,45,6,11,2,3,46.0,0
Haircut,30,0,14,2,2,41.7,1
Haircut,30,2,18,4,3,46.3,0
Haircut + Beard,45,3,14,0,2,25.3,0
Haircut,30,6,17,1,3,21.8,0
Haircut,30,6,13,2,3,27.9,0
Buzz Cut,15,6,13,2,3,13.7,0
Buzz Cut,15,6,9,4,3,21.2,0
Haircut,30,6,17,1,3,22.4,0
Haircut + Beard,45,2,9,0,2,19.9,0
Haircut,30,5,18,1,3,20.6,0
Haircut + Beard,45,2,17,1,3,30.2,0
Haircut + Beard,45,3,18,0,3,14.4,0
Beard Trim,20,5,10,3,3,24.2,0
Haircut,30,6,16,1,3,22.2,0
Buzz Cut,15,4,17,2,3,14.0,0
Haircut,30,5,12,1,3,20.7,0
Haircut,30,3,18,0,3,10.0,0
Beard Trim,20,6,16,4,3,30.6,0
Beard Trim,20,2,16,1,3,11.8,0
Haircut + Beard,45,6,12,4,3,65.6,0
Buzz Cut,15,3,14,1,2,19.1,0
Haircut + Beard,45,5,14,2,3,45.6,0
Haircut,30,6,17,0,3,10.5,0
Haircut,30,0,16,1,3,18.5,0
Haircut + Beard,45,4,14,2,2,76.6,0
Beard Trim,20,6,17,5,3,37.6,1
Haircut,30,3,16,0,3,10.8,0
Haircut + Beard,45,1,10,3,2,92.4,1
Haircut,30,1,12,3,2,51.2,0
Haircut,30,6,10,1,3,20.1,0
Haircut,30,4,13,0,2,15.2,0
Haircut,30,5,12,2,3,23.3,0
Haircut,30,5,15,0,3,10.0,0
Haircut,30,2,9,0,2,17.3,0
Beard Trim,20,2,11,2,2,27.4,0
Beard Trim,20,1,15,0,2,9.6,0
Buzz Cut,15,2,16,1,3,9.8,0
Haircut,30,4,11,1,2,34.5,0
Buzz Cut,15,3,14,0,2,8.4,0
Haircut,30,4,11,0,2,15.3,0
Haircut,30,6,18,2,3,28.7,0
Haircut,30,2,11,0,2,14.4,0
Haircut,30,4,15,0,2,13.9,0
Haircut,30,1,14,1,2,33.1,0
Haircut,30,1,15,0,2,11.5,0
Beard Trim,20,6,11,2,3,17.1,0
Buzz Cut,15,4,18,4,3,21.8,1
Haircut + Beard,45,3,10,2,2,71.6,0
Haircut,30,2,17,5,3,63.4,0
Beard Trim,20,3,17,1,3,12.6,0
Haircut,30,3,13,2,2,49.9,0
Haircut,30,2,16,1,3,19.0,0
Beard Trim,20,6,12,2,3,20.5,0
Buzz Cut,15,6,10,2,3,15.5,0
Haircut,30,6,10,4,3,55.1,1
Buzz Cut,15,5,13,1,3,9.6,0
Haircut + Beard,45,2,13,1,2,49.1,0
Haircut,30,6,9,1,3,22.0,0
Beard Trim,20,6,15,0,3,7.2,0
Haircut,30,5,13,3,3,44.3,0
Haircut,30,4,15,0,2,15.7,0
Haircut,30,6,13,5,3,60.6,0
Haircut,30,6,17,2,3,35.1,0
Haircut,30,4,10,3,2,64.8,1
Haircut,30,5,13,1,3,21.8,0
Buzz Cut,15,1,10,0,2,6.7,0
Haircut + Beard,45,5,15,3,3,72.1,0
Haircut + Beard,45,1,16,0,3,17.7,0
Buzz Cut,15,0,18,2,3,17.2,0
Haircut,30,0,10,0,2,16.0,0
Haircut,30,3,18,4,3,47.9,0
Haircut,30,5,9,3,3,31.2,0
Beard Trim,20,6,16,1,3,13.1,0
Buzz Cut,15,6,18,0,3,4.6,0
Buzz Cut,15,1,10,1,2,16.1,0
Haircut,30,5,18,2,3,32.0,0
Beard Trim,20,2,9,1,2,22.3,0
Haircut,30,3,16,2,3,29.6,0
Haircut,30,2,17,3,3,36.7,0
Haircut + Beard,45,4,17,0,3,16.7,0
Buzz Cut,15,0,13,0,2,7.8,0
Beard Trim,20,1,13,1,2,18.3,0
Haircut + Beard,45,6,11,2,3,47.2,0
Haircut + Beard,45,2,12,1,2,46.6,0
Buzz Cut,15,0,17,3,3,18.8,0
Buzz Cut,15,6,15,2,3,17.1,0
Haircut,30,5,15,1,3,20.6,0
Haircut,30,3,15,1,2,24.1,0
Haircut + Beard,45,6,9,0,3,15.6,0
Haircut,30,0,13,3,2,57.3,0
Haircut,30,5,13,2,3,28.5,0
Buzz Cut,15,2,10,1,2,15.1,1
Beard Trim,20,4,10,1,2,16.4,0
Haircut,30,6,17,1,3,19.9,0
Buzz Cut,15,3,17,1,3,9.3,0
Haircut,30,0,12,3,2,65.3,1
Haircut,30,4,17,3,3,42.9,1
Haircut,30,1,14,0,2,13.1,0
Haircut,30,5,13,6,3,73.1,0
Haircut,30,0,17,0,3,10.9,0
Buzz Cut,15,4,15,0,2,8.8,0
Haircut,30,4,18,4,3,42.8,0
Haircut,30,5,16,3,3,40.9,0
Haircut,30,1,17,3,3,31.9,1
Haircut,30,4,18,1,3,22.8,0
Buzz Cut,15,5,12,0,3,5.0,0
Buzz Cut,15,3,12,0,2,7.2,0
Haircut + Beard,45,3,15,0,2,25.3,0
Buzz Cut,15,4,16,5,3,35.0,0
Haircut,30,6,16,0,3,9.2,0
Haircut,30,2,13,1,2,28.4,0
Beard Trim,20,1,17,2,3,17.3,0
Buzz Cut,15,3,15,2,2,21.6,0
Buzz Cut,15,6,13,1,3,10.6,0
Haircut + Beard,45,0,18,0,3,15.0,0
Beard Trim,20,4,13,2,2,27.5,0
Haircut + Beard,45,4,16,3,3,62.1,0
Haircut,30,6,15,0,3,9.4,0
Haircut,30,5,12,1,3,20.1,0
Buzz Cut,15,1,12,1,2,14.9,0
Haircut,30,5,11,2,3,29.5,0
Beard Trim,20,4,10,1,2,18.6,0
Haircut,30,0,11,0,2,16.9,0
Haircut,30,6,13,2,3,29.2,0
Haircut,30,5,17,0,3,11.9,0
Haircut,30,3,11,1,2,33.5,0
Haircut,30,0,13,0,2,16.6,0
Beard Trim,20,6,10,1,3,14.0,0
Haircut,30,6,15,0,3,9.9,0
Buzz Cut,15,0,17,1,3,11.8,0
Haircut,30,5,12,0,3,7.8,0
Haircut + Beard,45,5,13,1,3,30.0,0
Haircut,30,6,13,0,3,9.1,0
Haircut,30,5,13,2,3,33.5,0
Haircut,30,3,16,1,3,19.0,0
Haircut + Beard,45,2,12,1,2,46.6,0
Haircut + Beard,45,1,12,0,2,22.8,0
Haircut,30,3,16,1,3,18.5,0
Haircut,30,5,9,0,3,10.4,0
Beard Trim,20,2,18,2,3,27.7,0
Haircut,30,4,17,2,3,27.6,0
Haircut,30,3,12,3,2,47.1,0
Beard Trim,20,1,11,0,2,8.8,0
Haircut,30,4,18,1,3,23.1,0
Beard Trim,20,3,12,1,2,19.7,0
Beard Trim,20,5,13,4,3,33.5,0
Buzz Cut,15,5,15,2,3,13.8,0
Beard Trim,20,2,17,1,3,13.9,0
Beard Trim,20,5,10,0,3,6.2,0
Haircut,30,1,18,0,3,10.3,0
Haircut + Beard,45,2,11,1,2,44.1,0
Haircut,30,3,11,0,2,14.7,0
Haircut,30,5,16,2,3,36.3,0
Haircut,30,0,10,2,2,38.2,0
Buzz Cut,15,5,11,5,3,29.2,0
Haircut,30,6,12,3,3,37.4,0
Haircut + Beard,45,2,12,1,2,36.5,0
Haircut,30,6,15,0,3,9.4,0
Beard Trim,20,6,12,0,3,6.8,0
Beard Trim,20,3,17,1,3,11.3,0
Beard Trim,20,5,14,2,3,17.1,0
Haircut,30,3,10,0,2,12.7,0
Haircut + Beard,45,5,15,3,3,54.7,0
Haircut,30,0,18,3,3,42.0,0
Haircut,30,2,18,1,3,20.3,0
Haircut,30,5,12,0,3,8.4,0
Haircut,30,6,17,1,3,18.6,0
Haircut,30,6,17,0,3,9.9,0
Haircut,30,5,17,2,3,30.9,0
Haircut + Beard,45,6,11,3,3,48.8,0
Buzz Cut,15,0,15,2,2,21.8,0
Haircut + Beard,45,1,17,1,3,29.9,0
Haircut,30,0,17,0,3,11.9,0
Haircut,30,6,10,2,3,26.1,0
Buzz Cut,15,0,14,0,2,7.1,0
Haircut + Beard,45,5,15,5,3,90.4,1
Buzz Cut,15,1,16,1,3,9.4,0
Haircut,30,3,10,0,2,16.8,0
Buzz Cut,15,2,15,1,2,14.2,0
Beard Trim,20,4,16,3,3,28.5,0
Beard Trim,20,6,11,3,3,26.4,0
Haircut,30,5,11,1,3,20.8,0
Buzz Cut,15,5,12,2,3,15.5,0
Haircut,30,0,11,0,2,13.7,0
Haircut,30,4,14,0,2,15.3,0
Haircut + Beard,45,0,13,1,2,45.8,0
Haircut,30,3,16,2,3,33.4,0
Haircut,30,3,14,2,2,48.4,0
Haircut,30,6,12,0,3,9.1,0
Beard Trim,20,0,16,1,3,14.1,0
Buzz Cut,15,5,13,1,3,8.4,0
Beard Trim,20,5,18,4,3,39.4,0
Haircut,30,0,18,1,3,19.5,0
Beard Trim,20,3,12,1,2,20.7,0
Haircut,30,5,18,4,3,42.1,0
Haircut + Beard,45,2,14,7,2,195.6,1
Haircut + Beard,45,4,10,0,2,23.7,0
Haircut,30,1,11,1,2,29.7,0
Haircut,30,2,18,3,3,39.5,0
Buzz Cut,15,0,12,1,2,15.9,0
Haircut + Beard,45,6,17,3,3,51.6,0
Haircut,30,3,12,0,2,17.0,0
Beard Trim,20,5,18,2,3,17.0,0
Haircut,30,3,14,1,2,31.9,0
Buzz Cut,15,3,11,0,2,6.5,0
Haircut,30,1,13,1,2,27.9,0
Beard Trim,20,6,12,0,3,7.6,0
Haircut,30,6,14,1,3,18.9,0
Haircut + Beard,45,6,11,5,3,92.8,0
Haircut,30,1,16,0,3,8.4,0
Buzz Cut,15,3,18,1,3,9.1,0
Buzz Cut,15,2,16,2,3,14.9,0
Haircut + Beard,45,4,18,2,3,44.6,0
Haircut,30,6,12,2,3,28.8,0
Haircut,30,0,14,0,2,13.9,0
Buzz Cut,15,6,15,2,3,16.9,0
Haircut,30,1,16,2,3,32.4,0
Haircut,30,5,10,1,3,19.5,0
Haircut,30,5,11,6,3,67.2,0
Haircut,30,3,16,1,3,22.0,0
Buzz Cut,15,4,11,4,2,35.9,0
Haircut,30,6,11,5,3,59.7,0
Beard Trim,20,2,13,1,2,20.0,0
Haircut,30,2,16,0,3,10.2,0
Haircut + Beard,45,4,11,1,2,43.5,0
Haircut,30,6,17,4,3,52.7,0
Haircut + Beard,45,2,18,0,3,13.8,0
Haircut + Beard,45,1,17,0,3,16.8,0
Haircut,30,1,10,0,2,14.8,0
Haircut,30,2,18,2,3,31.9,0
Haircut,30,4,14,1,2,28.9,0
Haircut,30,2,13,3,2,58.7,0
Haircut + Beard,45,3,17,2,3,36.5,0
Haircut,30,6,12,1,3,20.2,0
Haircut,30,0,10,1,2,30.9,0
Haircut,30,5,15,3,3,42.7,0
Haircut + Beard,45,0,12,0,2,24.3,0
Haircut,30,5,9,1,3,23.5,0
Haircut,30,3,11,2,2,42.6,0
Beard Trim,20,0,12,2,2,33.1,0
Buzz Cut,15,1,18,3,3,20.0,0
Haircut,30,0,16,1,3,20.9,0
Beard Trim,20,6,11,4,3,32.2,0
Haircut + Beard,45,5,17,3,3,56.4,0
Buzz Cut,15,0,11,0,2,7.3,0
Buzz Cut,15,5,12,6,3,32.4,0
Haircut + Beard,45,6,9,2,3,38.0,0
Haircut,30,0,13,2,2,39.9,1
Haircut,30,0,18,2,3,34.3,0
Buzz Cut,15,4,14,0,2,7.5,0
Haircut,30,5,12,4,3,55.1,0
Beard Trim,20,1,16,1,3,14.1,0
Haircut,30,6,16,0,3,8.6,0
Haircut,30,0,13,1,2,25.3,0
Haircut,30,0,9,1,2,30.7,0
Haircut,30,4,18,0,3,10.8,0
Beard Trim,20,6,9,4,3,37.1,0
Haircut,30,2,17,2,3,34.9,0
Haircut,30,3,11,1,2,31.7,0
Haircut,30,0,9,1,2,33.3,0
Haircut,30,6,13,2,3,28.3,0
Haircut,30,2,9,0,2,17.1,0
Buzz Cut,15,4,9,2,2,23.8,0
Haircut + Beard,45,5,12,3,3,68.1,0
Buzz Cut,15,4,14,4,2,36.1,1
Haircut + Beard,45,6,12,1,3,32.2,1
Buzz Cut,15,5,18,1,3,10.5,0
Haircut,30,2,14,1,2,31.1,0
Haircut,30,1,15,1,2,31.6,1
Haircut,30,5,10,1,3,22.5,0
Buzz Cut,15,3,14,0,2,6.8,0
Haircut,30,6,17,0,3,10.5,0
Buzz Cut,15,6,10,3,3,20.8,0
Haircut,30,4,17,1,3,16.8,0
Beard Trim,20,5,13,0,3,6.5,0
Haircut,30,3,16,3,3,42.6,0
Haircut,30,6,12,2,3,34.2,0
Haircut + Beard,45,3,17,2,3,50.7,0
Buzz Cut,15,2,15,0,2,8.4,0
Haircut + Beard,45,5,10,0,3,14.8,0
Buzz Cut,15,5,11,2,3,14.7,0
Haircut,30,1,12,2,2,35.0,0
Beard Trim,20,3,11,1,2,22.9,0
Haircut,30,6,10,4,3,56.7,0
Beard Trim,20,6,16,2,3,18.6,0
Beard Trim,20,1,17,2,3,17.4,0
Haircut,30,6,13,1,3,20.5,0
Buzz Cut,15,6,13,4,3,20.7,0
Haircut,30,5,12,6,3,70.0,1
Buzz Cut,15,5,13,0,3,4.2,0
Haircut,30,2,12,3,2,56.0,0
Haircut + Beard,45,4,17,0,3,12.8,0
Buzz Cut,15,3,13,0,2,8.1,0
Haircut,30,3,18,1,3,19.8,0
Haircut,30,3,12,1,2,31.1,0
Haircut,30,2,18,1,3,18.9,0
Haircut,30,2,17,0,3,8.6,0
Haircut,30,5,9,5,3,67.3,0
Haircut,30,4,10,1,2,30.1,0
Haircut + Beard,45,4,13,3,2,80.7,0
Haircut,30,5,17,1,3,18.8,0
Haircut,30,3,14,2,2,39.0,0
Haircut,30,3,17,1,3,19.2,0
Haircut,30,0,18,0,3,11.1,0
Buzz Cut,15,0,15,2,2,22.2,0
Haircut,30,5,16,3,3,45.1,0
Buzz Cut,15,2,16,2,3,14.7,0
Haircut,30,5,18,0,3,10.3,0
Beard Trim,20,4,9,3,2,48.9,0
Beard Trim,20,1,14,0,2,10.7,0
Haircut,30,0,13,2,2,43.6,0
Buzz Cut,15,4,9,0,2,7.7,0
Haircut + Beard,45,6,16,2,3,47.9,0
Buzz Cut,15,6,10,4,3,29.1,0
Beard Trim,20,1,11,0,2,10.3,0
Haircut,30,6,13,5,3,56.9,0
Haircut,30,5,16,1,3,24.8,0
Haircut,30,0,18,1,3,20.7,0
Haircut,30,5,12,6,3,61.1,0
Haircut,30,2,18,3,3,51.0,0
Haircut,30,6,15,2,3,26.5,0
Haircut,30,0,15,0,2,13.9,0
Haircut + Beard,45,4,14,2,2,63.4,1
Haircut,30,5,12,3,3,44.6,0
Haircut,30,2,10,1,2,31.0,0
Haircut,30,4,17,0,3,9.8,0
Haircut,30,6,18,4,3,43.5,0
Buzz Cut,15,6,10,1,3,10.2,0
Haircut,30,1,10,0,2,16.4,0
Haircut + Beard,45,5,12,5,3,99.0,0
Beard Trim,20,0,18,3,3,28.0,0
Haircut,30,5,13,4,3,50.8,0
Haircut,30,3,18,2,3,29.7,0
Haircut,30,0,11,1,2,30.3,0
Haircut,30,0,17,1,3,22.8,0
Beard Trim,20,1,13,3,2,34.3,0
Beard Trim,20,3,17,2,3,19.8,0
Buzz Cut,15,5,16,0,3,6.2,0
Haircut,30,6,14,2,3,29.3,0
Buzz Cut,15,3,14,2,2,21.6,0
Haircut,30,1,16,3,3,41.0,0
Buzz Cut,15,6,15,0,3,4.1,0
Haircut,30,2,14,1,2,32.4,0
Haircut,30,6,13,2,3,27.8,0
Haircut,30,6,12,4,3,47.5,0
Haircut,30,2,13,2,2,51.5,0
Haircut,30,6,17,0,3,9.5,0
Haircut,30,5,9,0,3,9.5,0
Haircut,30,6,15,1,3,17.8,0
Haircut + Beard,45,5,13,8,3,131.7,1
Beard Trim,20,2,9,2,2,32.2,0
Haircut,30,3,16,1,3,17.0,0
Haircut + Beard,45,0,14,0,2,23.7,0
Haircut,30,0,11,2,2,39.5,0
Buzz Cut,15,4,14,2,2,19.5,0
Haircut,30,1,12,2,2,43.6,0
Haircut,30,3,12,0,2,18.6,0
Buzz Cut,15,5,12,2,3,16.2,0
Haircut,30,4,11,1,2,27.6,0
Haircut + Beard,45,6,10,3,3,52.1,0
Haircut,30,4,10,0,2,12.9,0
Haircut + Beard,45,1,13,1,2,45.8,0
Haircut,30,6,11,3,3,38.4,0
Buzz Cut,15,6,18,1,3,10.9,0
Buzz Cut,15,5,15,2,3,13.9,0
Haircut,30,0,14,4,2,76.4,0
Haircut,30,0,17,2,3,26.4,0
Haircut + Beard,45,1,9,1,2,42.5,0
Haircut,30,2,14,1,2,27.9,0
Haircut,30,3,9,0,2,12.0,0
Haircut,30,1,17,3,3,39.3,0
Haircut + Beard,45,5,18,1,3,26.8,0
Haircut + Beard,45,5,11,6,3,78.8,0
Buzz Cut,15,0,13,0,2,7.0,0
Haircut,30,4,10,0,2,17.0,0
Haircut,30,0,14,0,2,14.0,0
Haircut,30,0,15,3,2,61.9,0
Buzz Cut,15,4,16,2,3,15.2,0
Buzz Cut,15,5,9,1,3,7.1,0
Haircut,30,5,12,2,3,24.9,0
Beard Trim,20,2,9,2,2,31.6,0
Haircut,30,3,10,0,2,16.4,0
Haircut + Beard,45,4,18,3,3,55.8,0
Haircut,30,0,10,1,2,32.5,0
Buzz Cut,15,2,14,1,2,14.9,0
Haircut,30,6,16,3,3,41.7,0
Beard Trim,20,2,16,3,3,27.1,0
Buzz Cut,15,1,11,0,2,7.3,0
Buzz Cut,15,4,16,6,3,39.0,0
Haircut,30,0,13,0,2,13.2,0
Haircut,30,1,13,0,2,15.7,0
Haircut,30,5,12,2,3,26.2,0
Haircut + Beard,45,1,13,2,2,64.0,1
Buzz Cut,15,6,17,3,3,23.0,0
Beard Trim,20,2,18,5,3,31.6,0
Haircut,30,4,17,1,3,17.9,0
Haircut,30,4,14,1,2,26.4,0
Buzz Cut,15,5,14,1,3,10.0,0
Haircut,30,5,13,7,3,90.5,1
Beard Trim,20,3,12,0,2,10.7,0
Haircut + Beard,45,2,9,0,2,20.7,0
Haircut,30,2,14,1,2,30.5,1
Haircut,30,5,18,0,3,9.5,0
Haircut + Beard,45,6,16,3,3,61.2,1
Buzz Cut,15,4,16,1,3,9.8,0
Haircut,30,0,10,0,2,16.3,0
Buzz Cut,15,2,13,2,2,24.3,0
Haircut,30,2,14,0,2,14.4,0
Haircut,30,2,14,3,2,53.3,0
Haircut,30,6,11,4,3,44.7,0
Haircut,30,5,17,3,3,50.2,0
Haircut,30,4,13,3,2,65.7,1
Buzz Cut,15,5,17,2,3,17.0,0
Beard Trim,20,6,13,4,3,33.7,0
Beard Trim,20,3,18,2,3,18.3,0
Haircut,30,0,12,1,2,26.3,0
Haircut,30,0,10,2,2,43.1,0
Haircut + Beard,45,3,14,1,2,45.0,0
Haircut,30,2,9,0,2,12.7,0
Haircut,30,2,14,1,2,28.9,0
Haircut,30,0,10,1,2,28.1,0
Beard Trim,20,0,16,1,3,14.5,0
Beard Trim,20,3,14,5,2,56.0,0
Haircut,30,6,16,0,3,11.2,0
Haircut,30,2,14,3,2,62.7,0
Haircut + Beard,45,0,15,0,2,24.2,0
Haircut,30,3,17,1,3,22.0,0
Haircut,30,3,16,0,3,9.5,0
Buzz Cut,15,2,15,1,2,18.2,0
Haircut + Beard,45,6,17,0,3,15.5,0
Haircut,30,6,10,0,3,11.2,0
Buzz Cut,15,4,18,0,3,4.9,0
Beard Trim,20,3,16,0,3,7.3,0
Buzz Cut,15,5,14,3,3,19.0,0
Buzz Cut,15,4,14,0,2,7.6,0
Beard Trim,20,3,11,1,2,18.9,0
Haircut,30,3,17,0,3,9.2,0
Haircut + Beard,45,6,11,5,3,82.8,1
Haircut,30,0,18,0,3,11.2,0
Haircut,30,1,18,1,3,18.8,0
Haircut + Beard,45,2,12,2,2,66.4,0
Buzz Cut,15,3,13,2,2,22.2,0
Haircut,30,5,16,0,3,9.8,0
Haircut,30,3,18,1,3,21.7,0
Haircut,30,2,11,1,2,27.5,0
Haircut,30,5,16,3,3,39.8,0
Beard Trim,20,0,13,0,2,8.7,0
Haircut,30,3,16,0,3,10.4,0
Haircut,30,6,16,0,3,8.7,0
Buzz Cut,15,3,15,0,2,7.3,0
Buzz Cut,15,2,14,2,2,23.5,0
Haircut,30,1,12,0,2,15.7,0
Haircut,30,6,16,2,3,26.8,0
Haircut,30,3,13,4,2,78.0,0
Haircut,30,5,10,2,3,35.6,0
Buzz Cut,15,4,11,4,2,45.8,0
Buzz Cut,15,4,15,3,2,24.2,0
Buzz Cut,15,3,12,0,2,6.8,0
Haircut + Beard,45,4,12,2,2,77.7,0
Haircut,30,6,9,1,3,21.0,0
Haircut,30,0,9,1,2,30.4,0
Haircut,30,2,14,0,2,13.9,0
Buzz Cut,15,5,13,2,3,15.2,0
Haircut,30,6,10,2,3,26.2,0
Beard Trim,20,3,17,1,3,12.1,0
Buzz Cut,15,1,18,2,3,15.8,0
Buzz Cut,15,5,9,1,3,8.9,0
Haircut,30,3,9,0,2,15.2,0
Haircut,30,0,18,0,3,10.1,0
Haircut + Beard,45,5,9,3,3,59.4,0
Haircut,30,3,18,0,3,9.5,0
Buzz Cut,15,3,18,4,3,25.3,0
Haircut,30,1,17,0,3,10.5,0
Haircut,30,0,10,0,2,12.3,0
Haircut,30,1,14,2,2,38.2,0
Beard Trim,20,0,13,0,2,10.6,0
Haircut,30,3,17,1,3,23.1,0
Buzz Cut,15,5,11,0,3,5.3,0
Haircut,30,4,15,0,2,15.9,0
Haircut + Beard,45,4,15,2,2,61.9,0
Buzz Cut,15,3,18,2,3,14.8,0
Haircut,30,2,16,2,3,29.3,0
Haircut,30,5,9,2,3,24.4,0
Haircut + Beard,45,4,11,2,2,71.5,0
Buzz Cut,15,2,14,2,2,23.2,0
Haircut,30,6,17,0,3,9.7,0
Beard Trim,20,4,15,2,2,24.3,0
Haircut + Beard,45,6,17,1,3,32.8,0
Buzz Cut,15,3,14,4,2,39.1,0
Haircut,30,5,10,1,3,20.4,0
Beard Trim,20,0,18,0,3,7.1,0
Beard Trim,20,0,13,0,2,10.3,0
Haircut,30,5,12,0,3,10.5,0
Haircut,30,4,18,0,3,9.8,0
Haircut,30,0,11,1,2,32.9,0
Haircut,30,1,16,1,3,18.7,0
Beard Trim,20,2,9,1,2,23.1,0
Haircut,30,0,14,0,2,14.4,0
Haircut,30,3,10,1,2,32.0,0
Haircut,30,2,16,0,3,9.6,0
Haircut,30,4,18,2,3,23.3,0
Buzz Cut,15,6,13,1,3,9.3,0
Haircut,30,3,16,1,3,21.6,0
Buzz Cut,15,4,9,1,2,16.4,0
Buzz Cut,15,1,9,0,2,8.0,0
Haircut,30,6,18,3,3,36.7,0
Haircut,30,5,14,4,3,47.5,0
Beard Trim,20,2,13,3,2,45.0,0
Haircut,30,3,12,2,2,36.4,0
Haircut,30,2,16,0,3,8.3,0
Haircut,30,0,13,1,2,30.5,0
Beard Trim,20,5,14,2,3,22.4,0
Haircut,30,5,13,6,3,66.3,1
Haircut,30,6,12,1,3,18.9,1
Buzz Cut,15,3,13,0,2,8.3,0
Haircut,30,1,17,2,3,28.2,0
Haircut,30,3,12,0,2,17.5,0
Haircut,30,0,15,0,2,15.2,0
Haircut,30,4,15,2,2,45.9,0
Haircut,30,3,18,2,3,25.3,0
Haircut,30,5,12,4,3,43.8,0
Buzz Cut,15,2,18,3,3,20.4,0
Buzz Cut,15,3,14,1,2,17.1,0
Buzz Cut,15,5,17,3,3,21.4,0
Haircut,30,5,17,2,3,27.7,0
Haircut,30,0,18,4,3,51.5,0
Beard Trim,20,5,13,5,3,45.3,0
Haircut + Beard,45,4,12,2,2,74.6,1
Buzz Cut,15,1,12,3,2,28.7,0
Haircut,30,1,15,2,2,40.9,0
Haircut + Beard,45,6,17,6,3,112.2,1
Haircut,30,6,12,1,3,23.2,0
Haircut + Beard,45,5,18,1,3,31.7,0
Haircut,30,3,12,0,2,15.9,0
Haircut + Beard,45,2,9,1,2,49.8,0
Beard Trim,20,4,10,0,2,9.8,0
Buzz Cut,15,6,12,1,3,7.6,0
Haircut,30,6,13,2,3,31.1,0
Buzz Cut,15,1,18,1,3,8.8,0
Buzz Cut,15,2,17,5,3,31.4,0
Buzz Cut,15,0,13,3,2,26.4,0
Haircut,30,5,13,4,3,55.5,0
Haircut + Beard,45,6,13,4,3,83.9,0
Buzz Cut,15,6,16,3,3,21.7,0
Beard Trim,20,4,14,0,2,11.1,0
Haircut + Beard,45,1,14,0,2,23.5,0
Buzz Cut,15,6,10,3,3,22.0,0
Buzz Cut,15,6,16,2,3,17.4,0
Haircut,30,3,16,1,3,18.2,0
Buzz Cut,15,6,16,1,3,9.3,0
Haircut + Beard,45,4,10,0,2,20.0,0
Haircut,30,5,14,1,3,17.4,0
Haircut,30,2,17,1,3,21.7,0
Haircut + Beard,45,5,13,4,3,72.6,0
Haircut,30,4,9,1,2,30.3,1
Beard Trim,20,2,13,1,2,19.0,0
Haircut + Beard,45,5,9,2,3,46.2,0
Haircut,30,2,18,6,3,68.2,1
Haircut,30,6,13,3,3,32.5,0
Buzz Cut,15,6,11,5,3,27.1,0
Haircut,30,1,14,0,2,14.3,0
Haircut,30,6,10,2,3,28.2,0
Haircut,30,5,16,3,3,37.7,0
